amfi_code,alpha,beta
100016,0.03747580763443287,-0.05826843143880889
100025,0.0428179203150603,0.0011582183155282421
100033,0.271953545012853,0.005103525830528333
101206,0.2139978477605115,0.021086316250127888
101207,0.10897091901704521,-0.06528924788351505
101208,0.060861457957864774,0.00026670968338229645
102885,0.1704875680341263,-0.01948678568947459
102886,0.028969397866379254,-0.04212502902189418
102887,0.16211256794033213,0.01668268943777075
118632,0.2182939790460857,-0.008353832126962047
118633,0.1564383594816961,-0.03663900671860917
118634,0.17500721675611194,0.10349663691337538
118635,0.15136354648239184,-0.0014335213897801583
118636,0.050747729999759995,0.0012566742731554992
119092,0.0689952982167752,0.00973074500115358
119093,0.08232801295222025,0.025883212440092736
119094,0.26076669080042136,-0.06626542862803705
119095,0.04801595363775957,-0.06695117463929198
119120,0.056208952166382664,-0.006413850728276526
119551,0.2320100716063496,-0.03175144113890953
119552,0.19868599366862885,-0.026159307513513214
119598,0.30336965386983256,-0.0231960620440596
119599,0.0488242159455394,0.06200180438267142
120503,0.1770330236584399,-0.04026895236982025
120504,0.21194827013525636,0.016232169761416906
120505,0.29263583341750954,0.0005490042506316251
120506,0.16253853279981,0.04189646272811958
120507,0.06746210411098824,-0.0004440926329706663
120841,0.13042924450705362,0.03635639902219954
120842,0.07804438876154987,0.01805687420811815
120843,0.2733046503830598,-0.02282956979242661
120844,0.0645567749537528,-0.0004007442394783576
125497,0.17729754927531685,0.04882040425957708
125498,0.11989100971217899,0.009054412621739305
148567,0.26983751441917886,0.023683558075848564
148568,0.20873010086942273,-0.026387719943842813
148569,0.2827036785246577,0.018133884083859377
149322,0.1317319022609936,-0.004050271130006762
149323,0.26598577542042906,-0.0025230046646989163
149324,0.30057878170976665,0.011455159960520971
